Word;Frequency;Percentage

no;9;1.5411 %
of;8;1.36986 %
at;8;1.36986 %
an;7;1.19863 %
in;6;1.0274 %
do;6;1.0274 %
why;5;0.856164 %
so;5;0.856164 %
my;5;0.856164 %
mr;5;0.856164 %
is;5;0.856164 %
her;5;0.856164 %
he;5;0.856164 %
ye;4;0.684932 %
to;4;0.684932 %
the;4;0.684932 %
she;4;0.684932 %
on;4;0.684932 %
oh;4;0.684932 %
me;4;0.684932 %
him;4;0.684932 %
had;4;0.684932 %
we;3;0.513699 %
up;3;0.513699 %
put;3;0.513699 %
procured;3;0.513699 %
power;3;0.513699 %
law;3;0.513699 %
it;3;0.513699 %
considered;3;0.513699 %
bed;3;0.513699 %
are;3;0.513699 %
am;3;0.513699 %
add;3;0.513699 %
My;3;0.513699 %
At;3;0.513699 %
way;2;0.342466 %
voice;2;0.342466 %
use;2;0.342466 %
understood;2;0.342466 %
unaffected;2;0.342466 %
unable;2;0.342466 %
tried;2;0.342466 %
summer;2;0.342466 %
son;2;0.342466 %
six;2;0.342466 %
since;2;0.342466 %
shy;2;0.342466 %
share;2;0.342466 %
sentiments;2;0.342466 %
see;2;0.342466 %
rapid;2;0.342466 %
purse;2;0.342466 %
piqued;2;0.342466 %
our;2;0.342466 %
or;2;0.342466 %
off;2;0.342466 %
not;2;0.342466 %
nor;2;0.342466 %
met;2;0.342466 %
joy;2;0.342466 %
its;2;0.342466 %
interested;2;0.342466 %
income;2;0.342466 %
impression;2;0.342466 %
how;2;0.342466 %
house;2;0.342466 %
friendly;2;0.342466 %
extensive;2;0.342466 %
excellent;2;0.342466 %
downs;2;0.342466 %
discretion;2;0.342466 %
direction;2;0.342466 %
departure;2;0.342466 %
decay;2;0.342466 %
continue;2;0.342466 %
contempt;2;0.342466 %
connection;2;0.342466 %
collecting;2;0.342466 %
cheerful;2;0.342466 %
breeding;2;0.342466 %
boisterous;2;0.342466 %
be;2;0.342466 %
as;2;0.342466 %
and;2;0.342466 %
advantages;2;0.342466 %
absolute;2;0.342466 %
above;2;0.342466 %
Too;2;0.342466 %
To;2;0.342466 %
So;2;0.342466 %
Law;2;0.342466 %
An;2;0.342466 %
Alteration;2;0.342466 %
zealously;1;0.171233 %
yet;1;0.171233 %
woody;1;0.171233 %
wooded;1;0.171233 %
wishing;1;0.171233 %
wish;1;0.171233 %
who;1;0.171233 %
which;1;0.171233 %
whether;1;0.171233 %
were;1;0.171233 %
weather;1;0.171233 %
warmly;1;0.171233 %
waited;1;0.171233 %
unpleasing;1;0.171233 %
unpacked;1;0.171233 %
under;1;0.171233 %
two;1;0.171233 %
travelling;1;0.171233 %
total;1;0.171233 %
tolerably;1;0.171233 %
together;1;0.171233 %
through;1;0.171233 %
three;1;0.171233 %
though;1;0.171233 %
things;1;0.171233 %
tended;1;0.171233 %
tedious;1;0.171233 %
talked;1;0.171233 %
taken;1;0.171233 %
surprise;1;0.171233 %
still;1;0.171233 %
staying;1;0.171233 %
state;1;0.171233 %
stairs;1;0.171233 %
speaking;1;0.171233 %
solicitude;1;0.171233 %
sold;1;0.171233 %
smallest;1;0.171233 %
sixteen;1;0.171233 %
situation;1;0.171233 %
sister;1;0.171233 %
sir;1;0.171233 %
sincerity;1;0.171233 %
simplicity;1;0.171233 %
simple;1;0.171233 %
sight;1;0.171233 %
shutters;1;0.171233 %
shall;1;0.171233 %
shade;1;0.171233 %
settled;1;0.171233 %
set;1;0.171233 %
september;1;0.171233 %
sensible;1;0.171233 %
seeing;1;0.171233 %
securing;1;0.171233 %
say;1;0.171233 %
saw;1;0.171233 %
round;1;0.171233 %
result;1;0.171233 %
resolve;1;0.171233 %
resembled;1;0.171233 %
request;1;0.171233 %
repeated;1;0.171233 %
removing;1;0.171233 %
remove;1;0.171233 %
removal;1;0.171233 %
remember;1;0.171233 %
remarkably;1;0.171233 %
regular;1;0.171233 %
reasonable;1;0.171233 %
really;1;0.171233 %
ready;1;0.171233 %
quick;1;0.171233 %
pursuit;1;0.171233 %
prospect;1;0.171233 %
promise;1;0.171233 %
projection;1;0.171233 %
projecting;1;0.171233 %
principles;1;0.171233 %
prevent;1;0.171233 %
pleasure;1;0.171233 %
pleased;1;0.171233 %
period;1;0.171233 %
perhaps;1;0.171233 %
people;1;0.171233 %
overcame;1;0.171233 %
outward;1;0.171233 %
ourselves;1;0.171233 %
ought;1;0.171233 %
others;1;0.171233 %
open;1;0.171233 %
one;1;0.171233 %
old;1;0.171233 %
offer;1;0.171233 %
objection;1;0.171233 %
now;1;0.171233 %
nothing;1;0.171233 %
noisy;1;0.171233 %
new;1;0.171233 %
never;1;0.171233 %
near;1;0.171233 %
narrow;1;0.171233 %
mutual;1;0.171233 %
musical;1;0.171233 %
mrs;1;0.171233 %
moonlight;1;0.171233 %
moments;1;0.171233 %
mile;1;0.171233 %
might;1;0.171233 %
merits;1;0.171233 %
merely;1;0.171233 %
melancholy;1;0.171233 %
may;1;0.171233 %
married;1;0.171233 %
marked;1;0.171233 %
many;1;0.171233 %
manor;1;0.171233 %
living;1;0.171233 %
listening;1;0.171233 %
likewise;1;0.171233 %
likely;1;0.171233 %
length;1;0.171233 %
led;1;0.171233 %
least;1;0.171233 %
learning;1;0.171233 %
lasting;1;0.171233 %
ladyship;1;0.171233 %
knew;1;0.171233 %
kindness;1;0.171233 %
justice;1;0.171233 %
jokes;1;0.171233 %
insisted;1;0.171233 %
inhabiting;1;0.171233 %
indulged;1;0.171233 %
imprudence;1;0.171233 %
improve;1;0.171233 %
imagine;1;0.171233 %
ignorant;1;0.171233 %
if;1;0.171233 %
humanity;1;0.171233 %
houses;1;0.171233 %
horrible;1;0.171233 %
hoped;1;0.171233 %
his;1;0.171233 %
hence;1;0.171233 %
hearted;1;0.171233 %
heard;1;0.171233 %
have;1;0.171233 %
hastily;1;0.171233 %
hastened;1;0.171233 %
has;1;0.171233 %
happy;1;0.171233 %
handsome;1;0.171233 %
half;1;0.171233 %
guest;1;0.171233 %
grave;1;0.171233 %
goodness;1;0.171233 %
giving;1;0.171233 %
given;1;0.171233 %
get;1;0.171233 %
gentleman;1;0.171233 %
garrets;1;0.171233 %
garden;1;0.171233 %
fruit;1;0.171233 %
friendship;1;0.171233 %
frequently;1;0.171233 %
formal;1;0.171233 %
form;1;0.171233 %
forfeited;1;0.171233 %
for;1;0.171233 %
followed;1;0.171233 %
finished;1;0.171233 %
feelings;1;0.171233 %
feebly;1;0.171233 %
favour;1;0.171233 %
father;1;0.171233 %
far;1;0.171233 %
express;1;0.171233 %
existence;1;0.171233 %
exercise;1;0.171233 %
